,X,people_daily_lives,pol_covid_testing,pol_econ_stocks,culture_film,pol_racism,pol_edu,pol_trump,pol_state_level,pol_congress,people_family,other_sports_1,pol_covid_cases,pol_china,other_social_media,other_sports_2,other_local_city,pol_election,pol_econ_workers,pol_vaccine,other_climate,bias,reliability,source_name,lean_buckets,local_national
1,1,0.049556321,0.06901699,0.018410463,0.021296311,0.020674028,0.047917875,0.026650566,0.114538345,0.032420248,0.0664713,0.079765307,0.138325671,0.005650721,0.027359968,0.03628005,0.045609724,0.021708508,0.112890228,0.049957881,0.01549954,-2.22,47.66,AL,center,local
2,2,0.076530932,0.025745754,0.034411725,0.016776682,0.014652255,0.019304882,0.018590348,0.135504199,0.01405024,0.08191346,0.003258299,0.144283753,0.009981163,0.046843706,0.020685234,0.096885334,0.003936753,0.183236479,0.040200907,0.01320802,-4.694942,46.841946,Albuquerque_Journal,center,local
3,3,0.053280005,0.037416891,0.007992118,0.066869449,0.03960466,0.057106128,0.015380393,0.290739455,0.005199533,0.08804682,0.015763879,0.054496939,0.005099175,0.021476107,0.051142458,0.088833358,0.011582613,0.042712912,0.024258962,0.022998108,-2.8513,46.785468,Asbury_Park_Press,center,local
4,4,0.030101635,0.072411101,0.023753491,0.007362185,0.054752184,0.083670785,0.032459822,0.114767913,0.022104808,0.064723992,0.059451406,0.094600843,0.010157314,0.073086925,0.042420076,0.027410456,0.073217722,0.062321426,0.043598367,0.007627603,-1.99,45.56,Atlanta_Journal_Constitution,center,local
5,5,0.056175761,0.055458215,0.009462641,0.033587856,0.02358486,0.060663341,0.012792813,0.040743741,0.004958431,0.105989544,0.080856365,0.125047512,0.00478895,0.025089345,0.128392541,0.117682744,0.01204688,0.056807481,0.029197029,0.016673974,-6.49,44.08,AZCentral,center,local
6,6,0.028130942,0.054966068,0.353244337,0.013800077,0.007126005,0.00820342,0.027856626,0.022339495,0.018709654,0.048967956,0.002170562,0.023634594,0.132538333,0.052417965,0.007177463,0.0298812,0.012074688,0.103663976,0.039441919,0.01365479,0.990136,44.39092,Bloomberg,center,national
7,7,0.020904389,0.066140397,0.064454492,0.018862732,0.040416674,0.032973073,0.054779541,0.074631912,0.030296699,0.085425226,0.060243043,0.085012599,0.05871292,0.026693364,0.065284976,0.035856315,0.030583696,0.068771295,0.061903137,0.018053529,14.37,40.31,Boston_Herald,right_leaning,local_national
8,8,0.013179462,0.052610737,0.028371541,0.029176767,0.055828186,0.016350719,0.165643134,0.05770248,0.039246654,0.075464885,0.010227745,0.042793064,0.160132863,0.064715703,0.016110352,0.01968245,0.042252073,0.055071256,0.045120082,0.010319902,19.07,29.58,Breitbart_News,right_leaning,national
9,9,0.101246029,0.064270121,0.072901671,0.005737482,0.021436052,0.016024786,0.009125511,0.165132055,0.003749849,0.0933124,0.03810145,0.07559764,0.004806653,0.035153512,0.014269544,0.087737118,0.00209969,0.149404742,0.025159781,0.01473387,-1.908378,46.283452,Buffalo_News,center,local
10,10,0.030641638,0.070914391,0.039361816,0.033338772,0.048069684,0.020536859,0.078252026,0.068417061,0.045550847,0.086895196,0.008431919,0.070333762,0.051369829,0.04388584,0.012837626,0.022633233,0.058103724,0.090684778,0.089168472,0.030572535,-3.96,48.93,CBS_News,center,national
11,11,0.066842502,0.048618583,0.121492925,0.014057312,0.039363779,0.048127722,0.010509328,0.093982384,0.020282451,0.06884465,0.005271373,0.080591836,0.004446993,0.031270979,0.01081349,0.143634233,0.048073654,0.096210316,0.019184268,0.028381159,-3.642594,46.699496,Charleston_Post_Courier,center,local
12,12,0.052990952,0.041441833,0.021450168,0.306062712,0.031771715,0.039475106,0.03973013,0.026881408,0.009366528,0.166137071,0.031659593,0.027763921,0.012636102,0.034490998,0.022999204,0.050304071,0.016979101,0.034881012,0.021152586,0.011825867,-1.76,47.15,Chicago_Tribune,center,local
13,13,0.099258587,0.089173579,0.0672332,0.051755986,0.025800399,0.054404466,0.026366263,0.045510837,0.007708261,0.080627083,0.0254296,0.106880606,0.014360745,0.027503564,0.005836588,0.097021405,0.006573633,0.077407366,0.064726986,0.026420846,-2.27,48.66,Chron,center,local
14,14,0.045295891,0.043958899,0.009841306,0.016998945,0.025577557,0.026836716,0.025524657,0.170370901,0.022944219,0.050055812,0.120606205,0.224273609,0.004147555,0.025202608,0.02016815,0.050578133,0.02000075,0.061956902,0.029462087,0.006199151,-0.6,47.04,cleveland,center,local
15,15,0.039984994,0.080379842,0.04222911,0.039636577,0.032927525,0.02244751,0.100956405,0.038796399,0.033012645,0.1180442,0.007160214,0.058507178,0.077994479,0.049239795,0.019661939,0.024867317,0.043618358,0.05583941,0.089876466,0.024819641,-9.92,43.62,CNN,left_leaning,national
16,16,0.104237807,0.048676753,0.055901745,0.012263832,0.023136548,0.056868376,0.009200161,0.164325301,0.022544735,0.073261036,0.00302486,0.063776386,0.002467189,0.056226105,0.00876919,0.087096295,0.004386265,0.109595336,0.06943603,0.02480615,-4.389382,46.780224,Dayton_Daily_News,center,local
17,17,0.088015078,0.054305893,0.016524187,0.004222222,0.006216564,0.045195544,0.014851242,0.125302273,0.011620252,0.053640889,0.011971928,0.284003063,0.003498688,0.037988494,0.026572856,0.049515754,0.05033755,0.091126998,0.016676324,0.008414224,-4.440454,46.461762,Des_Moines_Register,center,local
18,18,0.047282064,0.063989982,0.038626138,0.019720421,0.064684316,0.048866891,0.018950049,0.186165067,0.013429667,0.082531379,0.025554294,0.097501441,0.006279849,0.037239788,0.012498971,0.069166813,0.032734864,0.064606955,0.047814486,0.022356614,-1.87,48.87,Detroit_Free_Press,center,local
19,19,0.052025398,0.04039739,0.013691755,0.014272323,0.04929448,0.089523906,0.012793334,0.127665461,0.019292153,0.136167865,0.004068607,0.099032447,0.006154926,0.034863608,0.010862108,0.095075117,0.036094445,0.085757591,0.051557191,0.021409961,-4.69663,47.311226,Fci_Academy,center,local
20,20,0.028065576,0.084510753,0.011903811,0.067359731,0.0506035,0.01469921,0.122515606,0.062307629,0.036711417,0.102644105,0.043618146,0.046271095,0.055192062,0.04574733,0.044408494,0.023185885,0.040640074,0.033748159,0.062534767,0.023332643,17,33.53,Fox_News,right_leaning,national
21,21,0.028117103,0.073771074,0.015439592,0.077428614,0.041737649,0.017852356,0.163390551,0.039225814,0.036017457,0.144548872,0.005312912,0.050632248,0.044537725,0.046652034,0.010606636,0.019832527,0.047396249,0.05648788,0.061828147,0.019184598,-13.51,38.74,HuffPost,left_leaning,national
22,22,0.044825695,0.099442593,0.011953982,0.026614844,0.022732024,0.196882549,0.010894767,0.057879816,0.006936907,0.063254422,0.102786146,0.038022464,0.004585963,0.04133892,0.127122034,0.0571043,0.006157331,0.045701733,0.028093118,0.007670408,-3.952444,44.299878,Knoxville_News_Sentinel,center,local
23,23,0.026782787,0.067551228,0.028215294,0.027340727,0.044193484,0.110491917,0.051836011,0.05684582,0.0371757,0.046929403,0.036611586,0.129036008,0.061346069,0.028403079,0.047794055,0.040752751,0.052012582,0.057072241,0.033720424,0.015888841,-3.029206,45.329506,LancasterOnline,center,local
24,24,0.031992104,0.061569151,0.020752828,0.096078261,0.037635428,0.028142979,0.037748664,0.055121422,0.014373826,0.134116836,0.050336626,0.072057841,0.029064681,0.039864564,0.065591854,0.081600964,0.021608177,0.061008213,0.04318216,0.018153425,-8.18,48.09,Los_Angeles_Times,center,local_national
25,25,0.035245037,0.060713232,0.011798188,0.013201885,0.043792028,0.060070507,0.025371265,0.095425484,0.025089898,0.086816853,0.004838791,0.090420547,0.005565893,0.046537542,0.012868929,0.136251542,0.110124769,0.070578485,0.05385884,0.011430306,-7.18,48.31,Milwaukee_Journal_Sentinel,center,local
26,26,0.027541055,0.056058998,0.057165426,0.024420091,0.046546023,0.028786323,0.045962251,0.048027701,0.031182969,0.091462351,0.088400781,0.073982476,0.032796442,0.038269751,0.067424605,0.045937286,0.049598548,0.073494397,0.047125594,0.025816953,-3.97,47.1,Minneapolis_Star_Tribune,center,local
27,27,0.076404,0.082403556,0.008989431,0.016478335,0.042729969,0.034861543,0.012546528,0.226107777,0.021141104,0.056827448,0.03358956,0.079961733,0.003291151,0.037002812,0.023509461,0.061322517,0.02916329,0.091582465,0.046657086,0.015430224,-2.905956,47.380942,mlive,center,local
28,28,0.005186769,0.029130948,0.011161549,0.01130161,0.020226179,0.010511494,0.360431434,0.027405932,0.078777303,0.098957858,0.002992163,0.052791757,0.019609125,0.063281678,0.003039932,0.007408606,0.036596327,0.057520198,0.096781783,0.006887331,-14.74,43.46,MSNBC,left_leaning,national
29,29,0.036688278,0.0915449,0.031420827,0.029828088,0.058682872,0.020663233,0.082181332,0.069089795,0.036289165,0.072912123,0.006005785,0.084833718,0.08380506,0.046126368,0.012009489,0.023569126,0.060237485,0.05496188,0.083888658,0.015261825,-7.72,46.91,NBC_News,center,national
30,30,0.009775545,0.114933677,0.016860804,0.090234101,0.044251374,0.021736067,0.057549606,0.085343561,0.023583553,0.083019273,0.057489393,0.124199763,0.042681841,0.041521722,0.044075082,0.025186639,0.019906765,0.032130862,0.053039847,0.012480556,-6.79,39.5,New_York_Daily_News,center,local
31,31,0.037205657,0.075634716,0.046567977,0.048971342,0.046341532,0.021631409,0.051445909,0.073277493,0.019350085,0.115978332,0.077974494,0.051615784,0.060328825,0.043714728,0.051421078,0.032276322,0.019407127,0.046489955,0.061578194,0.018789088,14.17,35.13,New_York_Post,right_leaning,local_national
32,32,0.054641518,0.055733814,0.030385634,0.004033501,0.014362469,0.042932834,0.019489117,0.20753529,0.01445121,0.089159631,0.007768038,0.09509657,0.006505677,0.047416811,0.01612566,0.071439931,0.004444605,0.122599592,0.067474939,0.028403159,-4.25,47.93,Newsday,center,local
33,33,0.050868138,0.045908986,0.010819761,0.02082519,0.024393692,0.050223381,0.023512763,0.305871161,0.02753025,0.048874823,0.044480834,0.123467805,0.00380748,0.02450511,0.019126568,0.034339006,0.012159323,0.076240446,0.030710541,0.022334722,-1.8,47.87,nj,center,local
34,34,0.044220947,0.068067691,0.02934627,0.023156375,0.0134479,0.019099513,0.019056681,0.067180214,0.027278541,0.044980621,0.04042753,0.112978595,0.005011417,0.034423226,0.010076436,0.089508407,0.025268416,0.132215584,0.05514566,0.139109967,-3.48,48.63,NOLA,center,local
35,35,0.039168325,0.073967708,0.006108966,0.013142612,0.02648085,0.054073096,0.01944233,0.283887149,0.010446619,0.07759863,0.025588011,0.090951972,0.008692327,0.038029777,0.019880037,0.035774465,0.021119522,0.086918665,0.054103165,0.014625782,-3.090774,47.221032,NorthJersey,center,local
36,36,0.026259447,0.071312704,0.03065497,0.050040105,0.033855433,0.024570457,0.064478034,0.052614668,0.034988809,0.133968948,0.005437804,0.068463165,0.082713722,0.046431993,0.012460316,0.027746151,0.042744467,0.070621619,0.097243219,0.023393967,-4.53,48.16,NPR,center,national
37,37,0.138208465,0.094308378,0.060655764,0.031067435,0.021368367,0.045468433,0.005778392,0.152428606,0.006894708,0.055102486,0.005631848,0.027754771,0.004646508,0.025104094,0.007307281,0.132517612,0.016560753,0.106082586,0.038009513,0.025104215,-3.454726,45.906636,nwitimes,center,local
38,38,0.057088864,0.057103651,0.060218462,0.011250289,0.007500104,0.028452309,0.020733046,0.12827039,0.010770542,0.068848745,0.006313645,0.121316211,0.014194226,0.04598848,0.010194207,0.161508381,0.006687277,0.114749188,0.055761778,0.01305018,-3.945848,46.959726,OCRegister,center,local
39,39,0.057319686,0.082859036,0.028168623,0.019758039,0.045633055,0.018810657,0.014576456,0.084998438,0.020923522,0.051719924,0.010002036,0.250026559,0.012952876,0.037646199,0.016008345,0.040631875,0.010832836,0.116801178,0.05586175,0.024468936,-2.65,47.72,OregonLive,center,local
40,40,0.010215729,0.041198293,0.035126388,0.008981241,0.029872065,0.022918831,0.119441736,0.073638166,0.163467061,0.046655155,0.002705101,0.039744893,0.037167049,0.095151199,0.004463735,0.017498123,0.089645232,0.088839487,0.060367325,0.012903221,-8.88,45.98,Politico,center,national
41,41,0.034275514,0.05991509,0.009286703,0.012816506,0.030121299,0.145541489,0.008444792,0.056630101,0.019875759,0.074729619,0.045960987,0.131719193,0.004949436,0.040279787,0.026000591,0.124518489,0.031385067,0.099735633,0.029714922,0.014099145,-5.046044,46.752086,Roanoke_Times,center,local
42,42,0.023190323,0.060923586,0.005790084,0.00717024,0.041185873,0.054299559,0.022304702,0.064533164,0.023347425,0.08030972,0.003990381,0.325632289,0.007897671,0.043032273,0.011708288,0.083310272,0.021820461,0.057427908,0.046818817,0.015306927,-3.25,46.82,Salt_Lake_Tribune,center,local
43,43,0.081178371,0.082587636,0.034243636,0.061317774,0.024267418,0.016746761,0.024536596,0.083251373,0.010505661,0.086156033,0.034049282,0.092824119,0.056870798,0.026057067,0.019180442,0.157385792,0.015298582,0.03307453,0.039896992,0.020571097,-1.78,46.1,SFGate,center,local
44,44,0.039116912,0.067530797,0.063857919,0.031175908,0.021957909,0.035112411,0.016461078,0.052998447,0.015290625,0.071655679,0.103248389,0.109320078,0.01229336,0.027843615,0.101758265,0.101861019,0.012131163,0.074355413,0.033107637,0.008923604,-6.67,44.53,STLtoday,center,local
45,45,0.060342714,0.063461833,0.021657409,0.015063683,0.094283858,0.057666175,0.027785442,0.108523892,0.017751841,0.094564361,0.021429832,0.071892988,0.012597093,0.035751762,0.03033423,0.07253859,0.01294419,0.145449158,0.032308261,0.003652632,-8.09,46.8,Suntimes,center,local
46,46,0.096304914,0.05096571,0.018516562,0.03701681,0.012081786,0.040421529,0.021291889,0.204239049,0.013121055,0.058018651,0.041748048,0.073611666,0.007590488,0.030071308,0.009595894,0.06857838,0.027317263,0.121196649,0.055434108,0.012878238,-1.95,47.35,syracuse,center,local
47,47,0.048551559,0.05881052,0.021745821,0.020213713,0.013790362,0.021219813,0.032291462,0.101358679,0.01900879,0.079799408,0.020617244,0.279808904,0.006302628,0.050516352,0.009548397,0.051973355,0.021396084,0.083441199,0.035470071,0.024135644,-5.69,47.41,Tampa_Bay_Times,center,local
48,48,0.03915032,0.074469294,0.008858823,0.076754648,0.029865978,0.183505874,0.014464579,0.069304686,0.016398768,0.088560418,0.05598863,0.063437729,0.004740684,0.027164688,0.057563438,0.066946194,0.014961913,0.063899305,0.03161226,0.012351777,-2.06,48.67,Tennessean,center,local
49,49,0.015309628,0.042421369,0.012559081,0.010080104,0.015704397,0.048093757,0.011446801,0.067079605,0.077364186,0.06284204,0.240712975,0.048640555,0.001948701,0.025820954,0.124005241,0.026133704,0.014376947,0.093352127,0.012405585,0.049702259,-3.83,44.8,The_Advocate,left_leaning,local
50,50,0.028528639,0.059465152,0.041289519,0.030223771,0.035540941,0.047565793,0.05012855,0.073763827,0.027732693,0.107566141,0.052219219,0.068027792,0.049323133,0.040424255,0.05937028,0.044032628,0.036228672,0.06674226,0.064227737,0.017599026,-9.78,45.36,The_Boston_Globe,left_leaning,local_national
51,51,0.07636615,0.110599187,0.127766413,0.012146017,0.021481835,0.018007281,0.017746494,0.052240942,0.013500147,0.05766008,0.056237373,0.106268588,0.010804912,0.032598598,0.021961275,0.053375851,0.024067802,0.144664301,0.032595557,0.009911204,-5.35,44.76,The_Dallas_Morning_News,center,local
52,52,0.047438129,0.066477672,0.00720651,0.027912542,0.042889836,0.054370125,0.012781308,0.195143124,0.002629647,0.068430856,0.010790423,0.184152853,0.002122156,0.022532426,0.078212118,0.074824757,0.006762013,0.049164988,0.027335181,0.018823446,-2.35,48.58,The_Indianapolis_Star,center,local
53,53,0.032668051,0.07308605,0.058220263,0.01124801,0.027746924,0.033932924,0.023914945,0.11628935,0.010782218,0.061354017,0.009361476,0.178610242,0.020817192,0.064055687,0.02001946,0.095819377,0.005669633,0.074732535,0.05562709,0.026044625,-3.61,45.76,The_Mercury_News,center,local
54,54,0.062565727,0.054106664,0.045320114,0.017431515,0.033318725,0.030397965,0.03017752,0.113192056,0.018811894,0.093750777,0.024068829,0.064608429,0.010370436,0.05198134,0.022837197,0.050244252,0.033622474,0.161291705,0.073764482,0.008137901,-4.644822,46.751156,The_Philadelphia_Inquirer,center,local
55,55,0.023445875,0.173263393,0.138672463,0.018775972,0.007871753,0.011350233,0.027549992,0.012334497,0.011850677,0.051470664,0.015185891,0.041263678,0.211256695,0.030247833,0.090056271,0.024164451,0.015549478,0.028559109,0.054087193,0.013043968,3.433254,41.799542,The_Seattle_Times,center,local
56,56,0.034526422,0.048591888,0.218181868,0.014659996,0.015289371,0.015583451,0.033200429,0.034409955,0.024966394,0.051478349,0.004859512,0.054926117,0.083349035,0.06137455,0.00882897,0.025853081,0.019886541,0.08331913,0.084653811,0.082061156,6.49,47.96,The_Wall_Street_Journal,center,national
57,57,0.016402528,0.055021997,0.030679199,0.014455002,0.038323283,0.020952549,0.114335246,0.030054456,0.038425995,0.089827478,0.018838187,0.051239603,0.171186011,0.068249297,0.017126263,0.018578704,0.059371463,0.060312566,0.061064094,0.025556084,-7.68,44.35,The_Washington_Post,center,national
58,58,0.021085384,0.079723074,0.031954733,0.038703813,0.060831863,0.018413105,0.067350178,0.035482376,0.026960784,0.125771488,0.005072594,0.050039582,0.141906847,0.05175327,0.014959958,0.019901321,0.040246981,0.056554466,0.086955956,0.026332244,-10.35,43.67,Time,left_leaning,national
59,59,0.057302979,0.029049623,0.015601114,0.007902554,0.006095506,0.022562037,0.016832646,0.101829824,0.011314107,0.06966014,0.128173667,0.125515851,0.003418249,0.226724981,0.017475172,0.034750097,0.012876746,0.057606152,0.048130708,0.007177881,-3.855548,45.943332,TribLIVE,center,local
60,60,0.049605667,0.074359209,0.033483625,0.064020528,0.03337943,0.021563515,0.052299345,0.031752998,0.019368438,0.11737313,0.092921135,0.03051119,0.019949992,0.037822515,0.137269519,0.035879209,0.032445433,0.05160039,0.044231295,0.020163452,-4.77,46.7,USA_Today,center,national